X,Y,OBJECTID,ProjectRegion,Site_Code,siteid,habitatid,sitename,stationid,subRegionId,length,offshoreDepth,latDD,lonDD
-80.34749731,25.17359542,312,FKNMS,9H1,10,HB,Rattlesnake,101,UK,23,6,25.1736,-80.3475
-80.34749731,25.17359542,313,FKNMS,9H1,10,HB,Rattlesnake,102,UK,22,6,25.1736,-80.3475
-80.34749731,25.17359542,314,FKNMS,9H1,10,HB,Rattlesnake,103,UK,23,6,25.1736,-80.3475
-80.34749731,25.17359542,315,FKNMS,9H1,10,HB,Rattlesnake,104,UK,25,6,25.1736,-80.3475
-80.37819731,25.12009544,316,FKNMS,9H2,11,HB,El Radabob,111,UK,22,9,25.1201,-80.3782
-80.37819731,25.12009544,317,FKNMS,9H2,11,HB,El Radabob,112,UK,22,9,25.1201,-80.3782
-80.37819731,25.12009544,318,FKNMS,9H2,11,HB,El Radabob,113,UK,22,9,25.1201,-80.3782
-80.37819731,25.12009544,319,FKNMS,9H2,11,HB,El Radabob,114,UK,22,9,25.1201,-80.3782
-80.46839728,25.04469546,320,FKNMS,9H3,12,HB,Dove Key,121,UK,22,8,25.0447,-80.4684
-80.46839728,25.04469546,321,FKNMS,9H3,12,HB,Dove Key,122,UK,22,8,25.0447,-80.4684
-80.46839728,25.04469546,322,FKNMS,9H3,12,HB,Dove Key,123,UK,22,8,25.0447,-80.4684
-80.46839728,25.04469546,323,FKNMS,9H3,12,HB,Dove Key,124,UK,22,8,25.0447,-80.4684
-80.7839972,24.79719553,324,FKNMS,7H2,14,HB,Long Key,141,MK,22,12,24.7972,-80.784
-80.7839972,24.79719553,325,FKNMS,7H2,14,HB,Long Key,142,MK,22,12,24.7972,-80.784
-80.7839972,24.79719553,326,FKNMS,7H2,14,HB,Long Key,143,MK,22,12,24.7972,-80.784
-80.7839972,24.79719553,327,FKNMS,7H2,14,HB,Long Key,144,MK,22,12,24.7972,-80.784
-81.16759709,24.68909556,328,FKNMS,5H1,15,HB,Moser Channel,151,MK,22,12,24.6891,-81.1676
-81.16759709,24.68909556,329,FKNMS,5H1,15,HB,Moser Channel,152,MK,22,12,24.6891,-81.1676
-81.16759709,24.68909556,330,FKNMS,5H1,15,HB,Moser Channel,153,MK,22,12,24.6891,-81.1676
-81.16759709,24.68909556,331,FKNMS,5H1,15,HB,Moser Channel,154,MK,22,12,24.6891,-81.1676
-81.19049708,24.67559557,332,FKNMS,5H2,16,HB,Molasses Keys,161,MK,22,14,24.6756,-81.1905
-81.19049708,24.67559557,333,FKNMS,5H2,16,HB,Molasses Keys,162,MK,22,14,24.6756,-81.1905
-81.19049708,24.67559557,334,FKNMS,5H2,16,HB,Molasses Keys,163,MK,22,14,24.6756,-81.1905
-81.19049708,24.67559557,335,FKNMS,5H2,16,HB,Molasses Keys,164,MK,22,14,24.6756,-81.1905
-81.48889699,24.82209553,336,FKNMS,3H1,18,BCP,Content Keys,181,LK,23,18,24.8221,-81.4889
-81.48889699,24.82209553,337,FKNMS,3H1,18,BCP,Content Keys,182,LK,23,18,24.8221,-81.4889
-81.48889699,24.82209553,338,FKNMS,3H1,18,BCP,Content Keys,183,LK,24,18,24.8221,-81.4889
-81.48889699,24.82209553,339,FKNMS,3H1,18,BCP,Content Keys,184,LK,22,18,24.8221,-81.4889
-80.43899729,25.02189546,340,FKNMS,9P5,21,P,Two Patches,211,UK,21,8,25.0219,-80.439
-80.43899729,25.02189546,341,FKNMS,9P5,21,P,Two Patches,212,UK,21,9,25.0219,-80.439
-80.43899729,25.02189546,342,FKNMS,9P5,21,P,Two Patches,213,UK,23,7,25.0219,-80.439
-80.43899729,25.02189546,343,FKNMS,9P5,21,P,Two Patches,214,UK,23,8,25.0219,-80.439
-80.46689728,24.99919547,344,FKNMS,9P6,22,P,Burr Fish,221,UK,22,15,24.9992,-80.4669
-80.46689728,24.99919547,345,FKNMS,9P6,22,P,Burr Fish,222,UK,20,17,24.9992,-80.4669
-80.46689728,24.99919547,346,FKNMS,9P6,22,P,Burr Fish,223,UK,22,15,24.9992,-80.4669
-80.46689728,24.99919547,347,FKNMS,9P6,22,P,Burr Fish,224,UK,22,16,24.9992,-80.4669
-80.93569715,24.71759555,348,FKNMS,7P3,23,P,Rawa Reef,231,MK,24,20,24.7176,-80.9357
-80.93569715,24.71759555,349,FKNMS,7P3,23,P,Rawa Reef,232,MK,24,22,24.7176,-80.9357
-80.93569715,24.71759555,350,FKNMS,7P3,23,P,Rawa Reef,233,MK,22,22,24.7176,-80.9357
-80.93569715,24.71759555,351,FKNMS,7P3,23,P,Rawa Reef,234,MK,21,22,24.7176,-80.9357
-81.05059712,24.67149556,352,FKNMS,7P4,24,P,Thor,241,MK,23,20,24.6715,-81.0506
-81.05059712,24.67149556,353,FKNMS,7P4,24,P,Thor,242,MK,19,20,24.6715,-81.0506
